RecordID,DateOfRecord,UserID,FullName,Age,Gender,EmailAddress,Income,MarritalStatus,CountryID,CountryName,Region,ZipCode,RegisteredDate,LastOnline,GameID,GameName,GamePlatForm,GameCategories,ReleaseDate,PaymentType,IncomeByAds,IncomeByPurchase,IncomeBoughtIngameItems,ModifiedDate
53899,2019-05-09,16559,Michelle Wagner,23,Female,patriciagardner@yahoo.com,40000,Single,14,Switzerland,Europe,94907,2017-06-28,2018-12-07,20268,Best-Watson ZvZ_3927,PC,Adventure games,2015-01-01,Purchase,0.0,337.44,4470.42,2021-08-31 13:29:48
28551,2020-02-09,15734,Cheyenne Miller,22,Male,woodardmark@hotmail.com,125000,Married,4,Australia,Australia,15869,2018-08-25,2019-12-18,21651,King-Coleman xbs_8487,PC,Puzzle games,2016-11-12,Purchase,0.0,957.21,1954.18,2021-08-31 13:29:48
61374,2018-07-29,15731,Nathan Thompson,58,Male,deniseramsey@hotmail.com,195000,Single,11,Germany,Europe,15243,2015-09-05,2018-05-10,20964,Butler-Armstrong EPO_4270,Nitendo Switch,Simulation games,2015-06-18,Purchase,0.0,401.2,3104.1,2021-08-31 13:29:48
28249,2017-12-19,15949,Steve Wilson,26,Female,chad56@yahoo.com,65000,Married,6,Hong Kong,Asia,63445,2016-05-16,2017-07-17,20400,King-Snyder Ski_1228,Xbox,Adventure games,2016-03-08,Purchase,0.0,699.86,2859.93,2021-08-31 13:29:48
16844,2020-06-21,15774,Joshua Butler,57,Female,mccoylouis@gmail.com,170000,Single,13,Singapore,Asia,97864,2018-09-23,2020-03-10,20463,Rodriguez LLC fuT_7638,PlayStation,Simulation games,2015-04-13,Purchase,0.0,679.63,800.92,2021-08-31 13:29:48
5805,2017-02-25,16195,Austin Frye,34,Male,brownchad@yahoo.com,95000,Single,17,Sweden,Europe,94940,2016-09-17,2016-09-13,20209,Thomas PLC JMg_7167,PlayStation,Role-playing games,2015-01-06,Free,72.24,0.0,442.22,2021-08-31 13:29:48
38922,2019-03-17,16859,Brandon Martin,24,Female,allenreed@yahoo.com,110000,Single,10,Norway,Europe,55809,2017-09-15,2018-09-29,21219,"Cox, Marsh and Gardner tJo_2506",SmartPhone/Tablet,Sports games,2016-10-05,Free,242.35,0.0,337.72,2021-08-31 13:29:48
85622,2017-11-24,15721,Donna Wells,14,Male,whitneyjessica@yahoo.com,5000,Single,19,United Arab Emirates,Asia,76734,2017-01-05,2017-07-14,20902,"Huang, Garcia and Young fes_9951",Xbox,Puzzle games,2015-03-03,Purchase,0.0,699.29,2230.24,2021-08-31 13:29:48
8399,2018-03-08,16710,Bryan Leblanc,33,Female,brittanylewis@hotmail.com,25000,Single,14,Switzerland,Europe,81881,2017-09-04,2017-10-08,21473,"Dunlap, Huang and Clarke dYl_9181",Xbox,Action-adventure games,2016-01-20,Purchase,0.0,113.66,1835.7,2021-08-31 13:29:48
87888,2017-05-20,15707,Stacey Hall,5,Male,kaylarobbins@hotmail.com,3000,Single,9,New Zealand,Europe,62018,2016-11-14,2016-12-05,20784,Adams-Hughes cuN_4242,Xbox,Action games,2015-06-02,Free,433.29,0.0,4696.61,2021-08-31 13:29:48
28022,2018-09-16,16077,James Johnson,25,Male,pking@yahoo.com,15000,Single,16,Denmark,Europe,38912,2018-03-21,2018-07-08,21298,Velez PLC Wiy_1352,PlayStation,Action games,2015-05-31,Purchase,0.0,722.13,4958.6,2021-08-31 13:29:48
17372,2019-08-13,16226,Kyle Thomas,41,Female,trangary@gmail.com,160000,Married,18,France,Europe,61726,2017-10-01,2019-04-28,21002,"Simpson, Cole and Garcia VJL_2873",PlayStation,Simulation games,2017-04-16,Purchase,0.0,225.41,2728.0,2021-08-31 13:29:48
16824,2019-03-29,15794,Larry Chavez,5,Female,patrickyoung@hotmail.com,7000,Single,18,France,Europe,23624,2017-12-07,2019-01-20,20831,Jackson Group dAb_9039,PC,Idle games,2015-08-02,Free,313.21,0.0,1201.08,2021-08-31 13:29:48
81005,2018-01-01,16080,Danielle Ingram,16,Female,wrodriguez@gmail.com,8500,Single,11,Germany,Europe,78450,2017-04-16,2017-11-08,21766,"Holland, Hutchinson and Gilbert LpR_7647",Xbox,Adventure games,2015-06-23,Free,19.9,0.0,2372.82,2021-08-31 13:29:48
78633,2019-05-26,16182,Tammy Gonzalez,36,Female,kirkbradley@yahoo.com,125000,Married,12,China,Asia,94638,2017-08-29,2018-11-30,21855,Dixon Group khg_1140,Nitendo Switch,Simulation games,2015-11-06,Free,394.83,0.0,1992.74,2021-08-31 13:29:48
89220,2019-07-18,16466,Taylor Salazar,38,Female,afritz@hotmail.com,20000,Single,6,Hong Kong,Asia,81709,2016-09-14,2019-06-13,20244,"Greene, Hall and Rivera WpN_2979",PlayStation,Action-adventure games,2015-08-29,Purchase,0.0,978.48,2316.86,2021-08-31 13:29:48
91392,2018-10-21,16707,Anna Thompson,7,Female,steven49@hotmail.com,5000,Single,3,Taiwan,Asia,14039,2016-01-21,2018-06-28,20470,Hancock and Sons RDv_7784,PC,Role-playing games,2015-12-28,Purchase,0.0,739.49,137.79,2021-08-31 13:29:48
